mental,random,story,math
0.232590524,0.352217638,0.409875501,0.411658393
0.60808016,0.510095912,0.447118417,0.467724274
0.590033214,0.680197348,0.679037073,0.641107389
0.497224899,0.532928985,0.53171001,0.51300845
0.643790849,0.703076828,0.594129924,0.684738247
0.571660531,0.570551028,0.692809979,0.569751988
0.563796574,0.508715848,0.479744547,0.524646117
0.478594277,0.419018785,0.43591178,0.338979025
0.418563976,0.46746898,0.457836381,0.407334864
0.480200223,0.469132507,0.678245596,0.599617005
0.542073815,0.580844978,0.573743786,0.509005902
0.552244653,0.604936774,0.529838191,0.573637972
0.572153179,0.540669467,0.603562547,0.679178164
0.42151017,0.523863826,0.393964147,0.479352016
0.589748932,0.623612408,0.619206463,0.525408175
0.397311476,0.403149083,0.450934427,0.430910529
0.605506796,0.595680702,0.749055479,0.717453613
0.358992831,0.477597971,0.512938983,0.551041433
0.499929158,0.603592168,0.560375494,0.484774922
0.313661729,0.324683582,0.603039924,0.513150086
0.483540861,0.400252623,0.4625129,0.438595916
0.731355041,0.758358825,0.601870492,0.671806912
0.468420478,0.536908337,0.39089197,0.462346657
0.601786894,0.403397576,0.484301073,0.54309671
0.442652922,0.511946711,0.545192038,0.532874822
0.59905643,0.59278657,0.712501006,0.644196317
0.460116397,0.452590162,0.496803787,0.468737434
0.49023722,0.355521142,0.458175764,0.434603573
0.576510505,0.664313674,0.683305194,0.655381719
0.476912063,0.455319427,0.499321763,0.498846132
0.339602474,0.341780158,0.313736118,0.237428711
0.564661495,0.541667841,0.643010218,0.558044969
0.46512445,0.539622242,0.513087134,0.494372836
0.514208079,0.437744313,0.519345005,0.586369756
0.371510379,0.555719369,0.410428383,0.416792939
0.547430674,0.516006595,0.499676495,0.525346775
0.41021626,0.442278779,0.735469423,0.622529344
0.393186215,0.492372684,0.542481621,0.493752197
0.416439607,0.524108992,0.401434232,0.424955945
0.415121804,0.414284598,0.500993666,0.397172753
0.499413088,0.477694255,0.320994624,0.495496583
0.40068077,0.350709002,0.340073539,0.401942445
0.433092818,0.441712814,0.512862019,0.538401315
0.631685983,0.562956249,0.620131301,0.610404563
0.554827312,0.502332023,0.508128482,0.593242739
0.51845251,0.640891598,0.704945013,0.603926693
0.494203748,0.593490762,0.62335171,0.688040169
0.317482589,0.373658256,0.322943052,0.371661232
0.481512213,0.523168262,0.56212079,0.483121761
0.583550309,0.554153063,0.585205253,0.569434567
0.458962916,0.48243411,0.456998743,0.5551234
0.728384318,0.691836468,0.720783162,0.644073035
0.377716235,0.411452685,0.374870212,0.453749239
0.461700791,0.467724597,0.473137541,0.592860533
